id;fecha;valor;fecha_pago
1;2020-04-01T20:35:33;66735;2020-04-01T01:13:00
2;2020-04-01T02:31:26;25896;2020-04-01T14:37:22
3;2020-04-01T08:15:45;17222;2020-04-01T11:29:34
4;2020-04-01T08:00:53;97186;2020-04-01T12:31:48
5;2020-04-01T02:44:31;26606;2020-04-01T10:14:29
6;2020-04-01T13:07:47;87056;2020-04-01T13:12:04
7;2020-04-01T12:50:43;23235;2020-04-01T02:26:03
8;2020-04-01T17:34:48;11237;2020-04-01T08:10:03
9;2020-04-01T05:12:28;67822;2020-04-01T02:22:26
10;2020-04-01T17:49:59;99908;2020-03-31T22:38:47
